ucod,nombre,cod_depto,fis,clima,pend,cons_amb,inund,cn,rodadura
R13_PD01_01,Cobija - Zofra,PD,4.8,2,2,3,3,4,1
R13_PD01_02,Zofra - Porvenir,PD,5,2,2,3,3,2.7,1
R13_PD02_03,Porvenir - Puerto Rico,PD,5,2,2,2.4,3,1.4,3
R13_PD03_04,Puerto Rico - El Sena,PD,5,2,2,2.3,3,1.5,3
R13_PD04_05,El Sena - Peña Amarilla,PD,5,2,2,2.3,3,1.2,4
R13_PD04_06,Peña Amarilla - El Choro,PD,5,2,2,2.4,3,1,4
R14_PT07_01,Khuchu Ingenio - Vitichi,PT,3.5,4,2.2,3.9,2.1,2.8,1
R14_PT07_02,Vitichi - Pte. Tumusla,PT,3.6,2.9,2.3,3.8,2.2,2.8,1
R14_PT07_03,Pte. Tumusla - Cotagaita,PT,3.6,1.1,2.2,3.8,2.1,2.9,1
R14_PT08_04,Cotagaita - Hornillos,PT,3.4,2.5,2.1,3.9,2.1,2.7,1
R14_PT08_05,Hornillos - Tupiza,PT,4.1,4,2.5,4,2,3.4,1
R14_PT08_06,Tupiza - Villazon,PT,4.1,4,2.3,3.3,2.1,2.2,1
R15_CO05_01,Ivirgarzama - Puerto Villarroel,CO,4.8,3,2,2.7,3.3,1.7,1
R16_PD01_01,Porvenir - San Silvestre,PD,5,2,2,2.3,3,1.3,4
R16_PD01_02,San Silvestre - Chive,PD,5,2,2,2.2,3,1.1,4
R16_LP04R_03,Chive - Ixiamas,LP,4.8,2,2,2,3.1,1.3,5
R16_LP02R_04,Ixiamas - Tumupasa,LP,4.5,2,2.2,3.2,3,1.8,3
R16_LP02R_05,Tumupasa - San Buenaventura,LP,4.5,2,2.2,3.3,3.1,2.1,3
R16_LP05_06,Tumupasa - Cruce Apolo,LP,3.8,2,2.3,3.5,3,2,5
R16_LP05_07,Cruce Apolo - Charazani,LP,4.3,2.7,3,3.8,3,2,4
R16_LP02_08,Charazani - Pacobamba,LP,4.2,4,2.6,4.8,2.3,2.7,4
R16_LP02_09,Pacobamba - Escoma,LP,4.5,4,2.4,4.6,1.6,2.3,4
R16_LP03_10,Escoma - Achacachi,LP,4.4,4,2.2,3.3,1.5,3.2,1
R16_LP04_11,Achacachi - Huarina,LP,4,4,2,4.4,1,2.8,1
R17_SC01S_01,San Ignacio De Velazco - San Miguel,SC,5,2,2,2.9,3,3,3
R17_SC01S_02,San Miguel - San José De Chiquitos,SC,4.9,2,2,2.4,3,2.8,3
R18_PD01_01,Extrema - Nareuda,PD,2.3,2,2,3.2,3,1.2,4
R18_PD01_02,Nareuda - Zofra,PD,3.5,2,2,3.2,3,1.7,4
R19_LP10_01,"Villa Merced Unid. Vec ""B"" - Viacha",LP,3.8,4,2,3.1,1.1,3.1,3
R19_LP10_02,Viacha - Botijlaca,LP,4,4,2,4,1.1,3.6,1
R19_LP10_03,Botijlaca - Caquiaviri,LP,2.2,4,2.1,4,1,2.9,1
R19_LP10_04,Caquiaviri - Achiri,LP,3.8,4,2,2.5,1.1,1.7,4
R19_LP10_05,Achiri - Charaña,LP,2.8,4,2,3.1,1.2,3.4,4
