tf,strats,dir,dir_correct,median
1D,,BEARISH,1,1
1D,,NEUTRAL,0,0
1D,,NEUTRAL,0,1
1D,,BEARISH,1,1
1D,,NEUTRAL,0,1
1D,,BULLISH,1,1
1D,,NEUTRAL,1,1
1D,,BULLISH,1,1
1D,,NEUTRAL,0,1
1D,,NEUTRAL,0,0
1D,,BULLISH,0,0
1D,,NEUTRAL,0,1
1D,,NEUTRAL,1,1
1D,,BULLISH,1,1
1D,,BULLISH,1,1
1D,,BEARISH,0,1
1D,,NEUTRAL,1,1
1D,,NEUTRAL,1,1
1D,,NEUTRAL,1,1
1D,,NEUTRAL,0,1
1D,,NEUTRAL,1,1
1D,,NEUTRAL,0,1
1D,,BULLISH,0,0
1D,,NEUTRAL,0,1
1D,,NEUTRAL,0,1
1D,,NEUTRAL,0,1
1D,,NEUTRAL,0,1
1D,,NEUTRAL,0,1
1D,,NEUTRAL,0,1
1D,,NEUTRAL,0,1
1D,,NEUTRAL,0,1
1D,,NEUTRAL,0,1
1D,,NEUTRAL,0,1
1D,,NEUTRAL,1,1
1D,,NEUTRAL,1,1
1D,,BULLISH,1,1
1D,PED|SUPER,BEARISH,1,1
1D,S14,NEUTRAL,0,1
1D,PED|S14,BEARISH,1,1
1D,,NEUTRAL,0,1
1D,PED,NEUTRAL,0,1
1D,PED|SUPER,BEARISH,1,1
1D,,BEARISH,0,0
1D,,BULLISH,1,1
1D,PED|S3,BEARISH,1,1
1D,S3,BEARISH,0,1
1D,,NEUTRAL,0,1
1D,PED|S3,BULLISH,1,1
1D,S3,BEARISH,0,0
1D,PED|S3,BEARISH,0,0
1D,PED|S3,BEARISH,1,1
1D,S3|S_SEASONAL,BULLISH,1,1
1D,S_SEASONAL,BULLISH,1,1
1D,,BULLISH,0,0
1D,,BEARISH,1,1
1D,,BEARISH,1,1
1D,,BEARISH,1,1
1D,,BEARISH,0,1
1D,,BEARISH,1,1
1D,,BEARISH,0,1
1D,SUPER,BULLISH,1,1
1D,PED,BEARISH,0,1
1D,,NEUTRAL,0,0
1D,,BEARISH,0,0
1D,,NEUTRAL,1,1
1D,,NEUTRAL,1,1
1D,,NEUTRAL,1,1
1D,,NEUTRAL,0,1
1D,,NEUTRAL,0,1
1D,,NEUTRAL,0,0
1D,PED|SUPER,NEUTRAL,1,1
1D,,NEUTRAL,0,1
1D,,NEUTRAL,1,1
1D,PED,NEUTRAL,0,1
1D,PED|S3,BEARISH,0,0
1D,S3,BULLISH,1,1
1D,PED|S3|S9,NEUTRAL,0,1
1D,S3,NEUTRAL,0,1
1D,PED|S3|S9,NEUTRAL,0,1
1D,S3,BEARISH,0,0
1D,S5,NEUTRAL,0,1
1D,S5|S5V2,BEARISH,1,1
1D,S10|S5|S5V2,NEUTRAL,0,1
1D,PED|S5,NEUTRAL,1,1
1D,S5|S5V2,NEUTRAL,0,1
1D,S4|S5|S5V2,NEUTRAL,1,1
1D,S5,NEUTRAL,1,1
1D,S5,NEUTRAL,1,1
1D,S5|S5V2,NEUTRAL,0,1
1D,S10|S5|S5V2,NEUTRAL,0,1
1D,S5,NEUTRAL,0,1
1D,,NEUTRAL,1,1
1D,,NEUTRAL,1,1
1D,,NEUTRAL,1,1
1D,,NEUTRAL,0,1
1D,PED,NEUTRAL,0,1
1D,,NEUTRAL,0,1
1D,PED|S20|SUPER,BEARISH,1,0
1D,,NEUTRAL,1,1
1D,,NEUTRAL,0,1
1D,,NEUTRAL,0,1
1D,,NEUTRAL,0,1
1D,,NEUTRAL,0,1
1D,PED|S_CAPFLOW,NEUTRAL,1,1
