,model,season,region_id,source,term,value
1564,MPI-ESM1-2-LR,DJF,23,nonlinear,change,-0.0017058348001601266
1565,MPI-ESM1-2-LR,DJF,23,nonlinear,uncalibrated change,-0.0017499748605477392
1566,MPI-ESM1-2-LR,DJF,24,conversion,bias,0.0
1567,MPI-ESM1-2-LR,DJF,24,conversion,change,0.0
1568,MPI-ESM1-2-LR,DJF,24,conversion,uncalibrated change,0.0
1569,MPI-ESM1-2-LR,DJF,24,dynamical,bias,0.0
1570,MPI-ESM1-2-LR,DJF,24,dynamical,change,0.0
1571,MPI-ESM1-2-LR,DJF,24,dynamical,uncalibrated change,0.0
1572,MPI-ESM1-2-LR,DJF,24,nonlinear,bias,0.0
1573,MPI-ESM1-2-LR,DJF,24,nonlinear,change,0.0
1574,MPI-ESM1-2-LR,DJF,24,nonlinear,uncalibrated change,0.0
1575,MPI-ESM1-2-LR,DJF,25,conversion,bias,0.0
1576,MPI-ESM1-2-LR,DJF,25,conversion,change,0.0
1577,MPI-ESM1-2-LR,DJF,25,conversion,uncalibrated change,0.0
1578,MPI-ESM1-2-LR,DJF,25,dynamical,bias,0.0
1579,MPI-ESM1-2-LR,DJF,25,dynamical,change,0.0
1580,MPI-ESM1-2-LR,DJF,25,dynamical,uncalibrated change,0.0
1581,MPI-ESM1-2-LR,DJF,25,nonlinear,bias,0.0
1582,MPI-ESM1-2-LR,DJF,25,nonlinear,change,0.0
1583,MPI-ESM1-2-LR,DJF,25,nonlinear,uncalibrated change,0.0
1584,MPI-ESM1-2-LR,DJF,26,conversion,bias,0.04365517638990346
1585,MPI-ESM1-2-LR,DJF,26,conversion,change,-0.0058773530449905
1586,MPI-ESM1-2-LR,DJF,26,conversion,uncalibrated change,-0.009208591376146677
1587,MPI-ESM1-2-LR,DJF,26,dynamical,bias,-0.007122659838147647
1588,MPI-ESM1-2-LR,DJF,26,dynamical,change,-0.01082015078500199
1589,MPI-ESM1-2-LR,DJF,26,dynamical,uncalibrated change,-0.02095953244982823
1590,MPI-ESM1-2-LR,DJF,26,nonlinear,bias,-0.006082108332684766
1591,MPI-ESM1-2-LR,DJF,26,nonlinear,change,0.0010892556596861134
1592,MPI-ESM1-2-LR,DJF,26,nonlinear,uncalibrated change,0.0021351734950598575
1593,MPI-ESM1-2-LR,DJF,27,conversion,bias,0.007848336056794298
1594,MPI-ESM1-2-LR,DJF,27,conversion,change,-0.017920191488807954
