# x_m,y_m,w_tr_right_m,w_tr_left_m
486.532,-212.35,3.96,5.14
481.528,-211.367,5.11,4.49
476.525,-210.432,5.79,4.91
471.507,-209.596,5.64,4.86
466.455,-208.918,5.91,5.29
461.398,-208.275,5.86,6.94
456.37,-207.55,6.06,6.44
451.377,-206.738,6.39,6.61
446.463,-205.694,6.89,6.81
441.735,-204.045,6.06,7.24
437.044,-202.326,5.44,8.16
432.37,-200.605,7.61,5.39
427.714,-198.862,7.06,5.89
423.066,-197.099,6.45,6.45
418.261,-195.945,6.42,6.42
413.443,-194.834,6.4,6.4
408.613,-193.761,6.38,6.38
403.772,-192.724,6.35,6.35
398.919,-191.72,6.32,6.32
394.054,-190.745,6.3,6.3
389.185,-189.767,6.24,6.3
384.312,-188.78,6.16,6.34
379.434,-187.78,6.05,6.1
374.553,-186.763,5.9,5.9
369.669,-185.725,5.72,5.72
364.777,-184.688,5.55,5.55
359.881,-183.65,5.38,5.38
354.98,-182.606,5.2,5.2
350.076,-181.55,5.03,5.03
345.17,-180.479,4.85,4.85
340.173,-179.855,5.15,4.2
335.173,-179.202,5.45,3.55
330.163,-178.557,4.32,6.18
325.136,-177.955,4.68,5.32
320.077,-177.45,5.27,4.83
315.107,-176.531,5.27,4.93
310.161,-175.609,4.39,4.71
305.261,-174.682,4.4,4.9
300.406,-173.781,4.8,4.8
295.624,-172.784,4.84,4.76
290.884,-171.846,4.65,4.95
286.166,-171.111,5.55,5.15
281.512,-170.394,5.72,5.68
276.916,-169.748,4.48,5.52
272.379,-169.207,5.03,5.27
267.9,-168.913,5.17,5.23
263.487,-168.783,5.07,4.33
259.14,-168.989,4.85,5.15
254.818,-169.556,4.68,5.32
250.502,-170.533,5.3,5.4
246.165,-171.818,5.01,5.09
241.698,-173.207,4.69,4.91
237.403,-175.188,4.73,5.37
233.209,-177.52,5.11,3.09
229.146,-180.173,4.95,5.15
225.316,-183.196,4.68,4.82
221.866,-186.662,5.58,4.62
218.493,-190.226,5.12,5.28
215.39,-194.044,5.67,5.33
212.607,-198.119,6.19,5.51
209.906,-202.239,5.97,5.83
207.41,-206.494,5.67,6.13
205.035,-210.812,5.49,5.51
202.698,-215.141,5.34,5.46
200.373,-219.468,5.3,5.4
198.078,-223.808,5.3,5.4
195.83,-228.174,5.47,5.73
193.588,-232.546,5.27,5.13
191.317,-236.907,5.27,5.63
188.851,-241.173,5.09,5.81
186.442,-245.483,4.82,5.48
183.988,-249.784,6.66,5.74
181.544,-254.103,6.43,6.22
179.143,-258.455,6.22,6.3
176.924,-262.904,6.17,6.19
174.735,-267.375,6.14,6.08
172.524,-271.843,6.07,5.91
170.242,-276.285,5.91,6.43
168.02,-280.762,5.8,5.98
165.806,-285.248,5.71,5.03
163.504,-289.7,5.53,5.67
161.266,-294.183,5.43,5.63
159.052,-298.679,5.37,5.15
156.826,-303.168,5.3,5.46
154.57,-307.643,5.22,4.9
152.286,-312.103,5.12,5.46
150.008,-316.565,5.04,5.2
147.757,-321.039,4.99,4.49
145.481,-325.501,4.94,5.01
143.155,-329.938,4.84,4.86
140.789,-334.353,5.05,5.65
138.516,-338.814,5.07,4.93
136.32,-343.312,6.49,5.11
134.114,-347.805,4.81,4.89
132.042,-352.365,3.99,4.31
129.96,-356.921,4.37,4.53
127.754,-361.415,3.92,4.68
125.503,-365.886,4.63,4.17
123.236,-370.348,4.33,4.07
120.898,-374.774,4.36,4.44
118.606,-379.224,4.35,4.55
116.405,-383.72,4.45,4.45
114.081,-388.152,4.82,4.28
111.751,-392.581,4.29,5.11
109.468,-397.035,5.02,4.68
107.153,-401.47,4.92,4.68
104.805,-405.889,4.39,4.81
102.584,-410.375,5.01,4.29
100.359,-414.858,4.93,4.97
98.084,-419.315,5.1,5.4
95.938,-423.84,5.32,5.28
93.611,-428.269,5.24,5.26
91.315,-432.714,4.8,5.3
88.999,-437.149,5.84,5.26
86.749,-441.619,5.26,5.24
84.374,-446.021,5.14,5.06
82.075,-450.464,4.61,5.29
